tx,ty,tz,rx,ry,rz,sx,sy,sz,frame
0.539,-0.048,0.0,-56.122,0.0,0.0,1.0,1.0,1.0,7.0
0.648,-0.099,-0.142,-34.815,0.0,0.0,1.0,1.0,1.0,6.0
0.648,-0.22,-0.18,-35.103,0.0,0.0,1.0,1.0,1.0,6.0
0.643,-0.13,0.405,-29.636,0.0,0.0,1.0,1.0,1.0,6.0
0.643,-0.001,0.118,-29.636,0.0,0.0,1.0,1.0,1.0,6.0
0.643,-0.13,-0.106,-29.636,0.0,0.0,1.0,1.0,1.0,6.0
0.643,0.063,-0.106,-29.636,0.0,0.0,1.0,1.0,1.0,8.0
0.641,-0.006,-0.146,-74.908,0.0,0.0,1.0,1.0,1.0,8.0
0.648,-0.242,-0.149,-30.462,0.0,0.0,1.0,1.0,1.0,6.0
0.539,-0.048,0.0,-56.122,0.0,0.0,1.0,1.0,1.0,1.0
