tx,ty,tz,rx,ry,rz,sx,sy,sz,frame
0.0,0.0,-0.617,0.0,0.0,0.0,1.0,1.0,1.0,7.0
0.0,0.134,-0.716,21.307,0.0,0.0,1.0,1.0,1.0,6.0
0.0,0.011,-0.754,21.019,0.0,0.0,1.0,1.0,1.0,6.0
0.0,0.155,-0.143,26.487,0.0,0.0,1.0,1.0,1.0,6.0
0.0,0.284,-0.43,26.487,0.0,0.0,1.0,1.0,1.0,6.0
0.0,0.155,-0.654,26.487,0.0,0.0,1.0,1.0,1.0,6.0
0.0,0.349,-0.654,26.487,0.0,0.0,1.0,1.0,1.0,8.0
0.0,-0.196,-0.735,-18.786,0.0,0.0,1.0,1.0,1.0,8.0
0.0,0.034,-0.703,25.66,0.0,0.0,1.0,1.0,1.0,6.0
0.0,0.0,-0.617,0.0,0.0,0.0,1.0,1.0,1.0,1.0
