tx,ty,tz,rx,ry,rz,sx,sy,sz,frame
0.0,-0.047,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0
-0.02,-0.135,-0.154,21.307,0.0,0.0,1.0,1.0,1.0,6.0
-0.02,-0.256,-0.191,21.019,0.0,0.0,1.0,1.0,1.0,6.0
-0.019,-0.163,0.39,26.487,0.0,0.0,1.0,1.0,1.0,6.0
-0.019,-0.034,0.104,26.487,0.0,0.0,1.0,1.0,1.0,6.0
-0.019,-0.163,-0.121,26.487,0.0,0.0,1.0,1.0,1.0,6.0
-0.019,0.031,-0.121,26.487,0.0,0.0,1.0,1.0,1.0,8.0
-0.018,-0.039,-0.132,-18.786,0.0,0.0,1.0,1.0,1.0,8.0
-0.02,-0.277,-0.163,25.66,0.0,0.0,1.0,1.0,1.0,6.0
0.0,-0.047,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
