tx,ty,tz,rx,ry,rz,sx,sy,sz,frame
-0.432,-0.996,-0.067,0.0,0.0,0.0,1.0,1.0,1.0,7.0
-0.432,-0.996,-0.067,0.0,0.0,0.0,1.0,1.0,1.0,6.0
-0.432,-0.996,-0.067,0.0,0.0,0.0,1.0,1.0,1.0,6.0
-0.432,-0.836,-0.074,67.442,0.0,0.0,1.0,1.0,1.0,6.0
-0.432,-0.707,-0.36,67.442,0.0,0.0,1.0,1.0,1.0,6.0
-0.432,-0.836,-0.584,67.442,0.0,0.0,1.0,1.0,1.0,6.0
-0.432,-0.643,-0.584,67.442,0.0,0.0,1.0,1.0,1.0,8.0
-0.432,-0.907,0.294,-43.524,0.0,0.0,1.0,1.0,1.0,8.0
-0.432,-0.996,-0.067,0.0,0.0,0.0,1.0,1.0,1.0,6.0
-0.432,-0.996,-0.067,0.0,0.0,0.0,1.0,1.0,1.0,1.0
