tx,ty,tz,rx,ry,rz,sx,sy,sz,frame
0.703,-0.102,0.261,-76.537,-47.538,10.645,1.0,1.0,1.0,7.0
0.703,-0.28,0.065,-58.096,-18.965,-19.834,1.0,1.0,1.0,6.0
0.703,-0.4,0.029,-58.368,-19.116,-19.656,1.0,1.0,1.0,6.0
0.703,-0.327,0.595,-53.11,-17.338,-21.976,1.0,1.0,1.0,6.0
0.703,-0.198,0.308,-53.11,-17.338,-21.976,1.0,1.0,1.0,6.0
0.703,-0.327,0.084,-53.11,-17.338,-21.976,1.0,1.0,1.0,6.0
0.703,-0.133,0.084,-53.11,-17.338,-21.976,1.0,1.0,1.0,8.0
0.703,-0.008,0.13,-76.049,-133.115,97.93,1.0,1.0,1.0,8.0
0.703,-0.438,0.044,-53.955,-16.971,-22.237,1.0,1.0,1.0,6.0
0.703,-0.102,0.261,-76.537,-47.538,10.645,1.0,1.0,1.0,1.0
