tx,ty,tz,rx,ry,rz,sx,sy,sz,frame
-0.73,-0.234,0.165,6.746,-83.554,65.004,1.0,1.0,1.0,7.0
-0.942,-0.493,-0.045,8.624,-86.452,43.584,1.0,1.0,1.0,6.0
-0.942,-0.614,-0.08,8.606,-86.408,43.875,1.0,1.0,1.0,6.0
-0.932,-0.523,0.463,8.883,-87.262,38.348,1.0,1.0,1.0,6.0
-0.932,-0.394,0.177,8.883,-87.262,38.348,1.0,1.0,1.0,6.0
-0.932,-0.523,-0.047,8.883,-87.262,38.348,1.0,1.0,1.0,6.0
-0.932,-0.33,-0.047,8.883,-87.262,38.348,1.0,1.0,1.0,8.0
-0.928,-0.246,0.174,4.309,-81.754,83.719,1.0,1.0,1.0,8.0
-0.942,-0.643,-0.082,8.869,-87.121,39.187,1.0,1.0,1.0,6.0
-0.73,-0.234,0.165,6.746,-83.554,65.004,1.0,1.0,1.0,1.0
