tx,ty,tz,rx,ry,rz,sx,sy,sz,frame
-0.539,-0.048,0.0,-42.271,0.0,0.0,1.0,1.0,1.0,7.0
-0.555,-0.131,-0.271,-20.964,0.0,0.0,1.0,1.0,1.0,6.0
-0.555,-0.252,-0.308,-21.252,0.0,0.0,1.0,1.0,1.0,6.0
-0.554,-0.147,0.279,-15.784,0.0,0.0,1.0,1.0,1.0,6.0
-0.554,-0.018,-0.007,-15.784,0.0,0.0,1.0,1.0,1.0,6.0
-0.554,-0.147,-0.232,-15.784,0.0,0.0,1.0,1.0,1.0,6.0
-0.554,0.047,-0.232,-15.784,0.0,0.0,1.0,1.0,1.0,8.0
-0.554,-0.106,-0.219,-61.057,0.0,0.0,1.0,1.0,1.0,8.0
-0.555,-0.264,-0.28,-16.611,0.0,0.0,1.0,1.0,1.0,6.0
-0.539,-0.048,0.0,-42.271,0.0,0.0,1.0,1.0,1.0,1.0
