tx,ty,tz,rx,ry,rz,sx,sy,sz,frame
0.0,0.395,-0.593,0.0,0.0,0.0,1.0,1.0,1.0,7.0
0.0,0.494,-0.55,21.307,0.0,0.0,1.0,1.0,1.0,6.0
0.0,0.371,-0.59,21.019,0.0,0.0,1.0,1.0,1.0,6.0
0.0,0.639,-0.062,-13.625,0.0,0.0,1.0,1.0,1.0,6.0
0.0,0.801,-0.349,-13.625,0.0,0.0,1.0,1.0,1.0,6.0
0.0,0.639,-0.573,-13.625,0.0,0.0,1.0,1.0,1.0,6.0
0.0,0.801,-0.573,-13.625,0.0,0.0,1.0,1.0,1.0,8.0
0.0,0.185,-1.001,-67.952,0.0,0.0,1.0,1.0,1.0,8.0
0.0,0.38,-0.51,25.66,0.0,0.0,1.0,1.0,1.0,6.0
0.0,0.395,-0.593,0.0,0.0,0.0,1.0,1.0,1.0,1.0
