tx,ty,tz,rx,ry,rz,sx,sy,sz,frame
0.34,-0.633,0.0,4.447,27.26,8.641,1.0,1.0,1.0,7.0
0.34,-0.735,-0.191,-35.506,34.121,-15.128,1.0,1.0,1.0,6.0
0.34,-0.788,-0.248,-59.481,64.055,-54.189,1.0,1.0,1.0,6.0
0.34,-0.628,0.128,25.234,30.797,20.587,1.0,1.0,1.0,6.0
0.34,-0.499,-0.159,25.234,30.797,20.587,1.0,1.0,1.0,6.0
0.34,-0.628,-0.383,25.234,30.797,20.587,1.0,1.0,1.0,6.0
0.34,-0.435,-0.383,25.234,30.797,20.587,1.0,1.0,1.0,8.0
0.34,-0.588,0.047,-35.843,40.845,-20.899,1.0,1.0,1.0,8.0
0.34,-0.789,-0.265,-56.92,56.786,-45.643,1.0,1.0,1.0,6.0
0.34,-0.633,0.0,4.447,27.26,8.641,1.0,1.0,1.0,1.0
